CDISC SEND Rule ID,Class,Domain,Variable,Plain Text Explanation of Condition/Rule,Condition,Rule,Cited Document,Cited Document Section,Cited Item,Cited Guidance,Release Notes
38,ALL,ALL,USUBJID,If a subject is used in multiple studies the same USUBJID is used in all studies,The same subject is present in the  DM dataset for multiple studies,The same USUBJID is used in all studies,SENDIG v3.0,4.2.3,Text,"Additionally, the same animal that participates in multiple studies (when this is known) must be assigned the same USUBJID value in all studies.",
38,ALL,ALL,USUBJID,If a subject is used in multiple studies the same USUBJID is used in all studies,The same subject is present in the  DM dataset for multiple studies,The same USUBJID is used in all studies,SENDIG v3.1,4.2.3,Text,"Additionally, the same animal that participates in multiple studies (when this is known) must be assigned the same USUBJID value in all studies.",
186,FND,MI,"MIORRES, MISTAT","If a tissue that was scheduled for examination but not examined was not examined, the record will have a blank value in MIORRES and MISTAT will be ""NOT DONE"".",Scheduled tissue was not examined,"MIORRES = null AND MISTAT = ""NOT DONE""",SENDIG v3.0,6.3.8.1,Assumption 3.b.i,"If an organ (scheduled for histopathology or introduced later because of adverse findings) for some reason was not examined, the record will have a blank value in MIORRES and MISTAT will be ""NOT DONE"". Failure to adhere to this assumption will preclude the generation of the tumor dataset described in the FDA Study Data Specification applicable for carcinogenicity studies.",
186,FND,MI,"MIORRES, MISTAT","If a tissue that was scheduled for examination but not examined was not examined, the record will have a blank value in MIORRES and MISTAT will be ""NOT DONE"".",Scheduled tissue was not examined,"MIORRES = null AND MISTAT = ""NOT DONE""",SENDIG v3.1,6.3.8.1,Assumption 4.h.i,"If an organ (scheduled for histopathology or introduced later because of adverse findings) for some reason was not examined, the record will have a blank value in MIORRES and MISTAT will be ""NOT DONE"". ",Cited guidance reference updated; no implementation impact.
95.1,ALL,ALL; not TS or CO,ALL,"If a variable should be populated with a text string longer than 200 characters, the text must be split.  When splitting the text string, the text should be split between words to improve readability.  In domains other than TS and CO the text should be split by storing the portion of the text string longer than 200 characters and presented in the SUPP-- dataset.  Within the SUPP-- dataset the text string will be split into additional 200 character text strings as needed.  The QNAM in the SUPP-- dataset will use the variable name with an appended sequential one-digit number, beginning with 1.  Please note other variable length limits may supersede this rule.",Variable value length > 200 characters and domain is not TS or CO,"SUPP-- contains each additional string, up to 200 characters in length, and QNAM = variable name with appended sequential one-digit number beginning from 1.",SENDIG v3.1,4.5.2.2,Text,"The first 200 characters of text should be submitted in the standard domain variable, and each additional 200 characters of text should be represented as a record in the SUPP-- dataset (see Section 8). In this dataset, the value for QNAM should contain a sequential variable name, which is formed by appending a one-digit integer, beginning with 1, to the original standard domain variable name. When splitting a text string into several records, the text should be split between words to improve readability.",Versioned to reflect cited guidance change. 
123,SPC,SE,ETCD,"If an element differs significantly from the planned element to the extent that it should be considered a new element, UNPLAN is used as the value for ETCD and ELEMENT is left blank.",Element occurs that is not one of the planned elements,ETCD = UNPLAN,SENDIG v3.0,5.3.1,ETCD CDISC Notes,"If an encountered Element differs from the planned Element to the point that it is considered a new Element, then use UNPLAN as the value for ETCD to represent the Element.",
228,TDM,TA,TATRANS,"If an Element does not end with a decision that could lead to a shortened path within the Arm, then TATRANS will be null.",Element does not end with a decision,TATRANS = null,SENDIG v3.0,7.3.1.1,Assumption 9,"TATRANS describes the decision points that may lead to a shortened path within an Arm, for example if some Elements within the Arm are skipped. If an Element does not end with a decision that could lead to a shortened path within the Arm, then TATRANS will be null. If there is a decision being represented within the value of TATRANS, the TATRANS rule should be populated as an 'if-then' statement (e.g., ""If condition X is true, then go to Element with TAETORD = Z"").",
228,TDM,TA,TATRANS,"If an Element does not end with a decision that could lead to a shortened path within the Arm, then TATRANS will be null.",Element does not end with a decision,TATRANS = null,SENDIG v3.1,7.3.1.1,Assumption 11,"TATRANS describes the decision points that may lead to a shortened path within an Arm, e.g. if some Elements within the Arm are skipped. If an Element does not end with a decision that could lead to a shortened path within the Arm, then TATRANS will be null. If there is a decision being represented within the value of TATRANS, the TATRANS rule should be populated as an ‘if-then’ statement (e.g., “If condition X is true, then go to Element with TAETORD = Z”).",Cited guidance reference updated; no implementation impact.
107,SPC,DM,ARMCD,"If any arm is defined in TA, ARMCD must be populated in DM",TA exists,DM.ARMCD ^= null,SENDIG v3.0,5.1.1,ARMCD CDISC Notes,ARMCD; Should be populated when Arms have been defined in the TA domain.,
107,SPC,DM,ARMCD,"If any arm is defined in TA, ARMCD must be populated in DM",TA exists,DM.ARMCD ^= null,SENDIG v3.1,5.1.1,ARMCD CDISC Notes,ARMCD; Should be populated when Arms have been defined in the TA domain.,
NEW SEND RULE 304,ALL,ALL,ALL,If CDISC published Controlled Terminology applies and the collected value is synonymous with a CDISC Submission Value; the synonymous term must be mapped to the CDISC Submission Value. ,CDISC published Controlled Terminology applies AND collected value is synonymous with a CDISC Submission Value ,The synonymous term must be mapped to the CDISC Submission Value. ,SENDIG v3.1,4.3.7,Text,"When there are multiple terms that express the same base concept, SEND CT provides the Preferred Term to include in a submission, and thus the term to which the synonymous term(s) should be mapped.",New rule identified from cited guidance.
53,ALL,ALL,GEN,"If Controlled Terminology is not used, values that are collected as codes should be decoded in the dataset to avoid ambiguity for submission reviewers.",,"Controlled terminology, if applicable, or decoded text is presented in the dataset.",SENDIG v3.0,4.3.4,Text,"Controlled terminology or decoded text should be used instead of arbitrary number codes in order to reduce
ambiguity for submission reviewers.",
53,ALL,ALL,GEN,"If Controlled Terminology is not used, values that are collected as codes should be decoded in the dataset to avoid ambiguity for submission reviewers.",,"Controlled terminology, if applicable, or decoded text is presented in the dataset.",SENDIG v3.1,4.3.4,Text,Controlled terminology or decoded text should be used instead of arbitrary number or text codes in order to reduce ambiguity for submission reviewers.,
52,ALL,ALL,GEN,"If Controlled Terminology is used, the Define-XML document should include the Controlled Terminology or a reference to the Controlled Terminology.",Controlled Terminology used,Controlled Terminology is included in the Define-XML document OR a reference to external Controlled Terminology is included in the Define-XML document,SENDIG v3.0,4.3.3,Text,The controlled terminology or a link to the controlled terminology should be included in the data definition file wherever applicable. See the define.xml specification for details on including or referencing controlled terminology lists.,
52,ALL,ALL,GEN,"If Controlled Terminology is used, the Define-XML document should include the Controlled Terminology or a reference to the Controlled Terminology.",Controlled Terminology used,Controlled Terminology is included in the Define-XML document OR a reference to external Controlled Terminology is included in the Define-XML document,SENDIG v3.1,4.3.3,Text,The controlled terminology or a link to the controlled terminology should be included in the data definition file wherever applicable. See the define.xml specification for details on including or referencing controlled terminology lists.,
89,FND,ALL,"--ORRES, --STRESC",If data are collected using arbitrary coded values --ORRES should be populated with the decoded values.,Data collected using a code,--ORRES does not contain coded values,SENDIG v3.0,4.5.1.1,Text,"When the original measurement or finding is a selection from a defined codelist, in general, the --ORRES and --STRESC variables contain results in decoded format, that is, the textual interpretation of whichever code was selected from the codelist.",
89,FND,ALL,"--ORRES, --STRESC",If data are collected using arbitrary coded values --ORRES should be populated with the decoded values.,Data collected using a code,--ORRES does not contain coded values,SENDIG v3.1,4.5.1.1,Text,"When the original measurement or finding is a selection from a defined codelist, in general, the --ORRES and --STRESC variables contain results in decoded format, that is, the textual interpretation of whichever code was selected from the codelist.",
90,FND,ALL,"--ORRES,  --STRESC, --STRESN",If data is collected using a codelist and the code values are valuable for performing statistical analysis --ORRES should be populated with the decoded values and both --STREC and --STRESN should be populated with the code.,Data collected using a codelist and coded values are used to perform statistical analysis,"--ORRES = decoded value; AND --STRESC,--STRESN = code",SENDIG v3.0,4.5.1.1,Text,"In some cases the code values in the codelist are statistically meaningful standardized values or scores, which are defined by sponsors or by valid methodologies. The --ORRES variables will contain the decoded format; whereas the --STRESC variables, as well as the --STRESN variables, will contain the standardized values or scores.",
90,FND,ALL,"--ORRES,  --STRESC, --STRESN",If data is collected using a codelist and the code values are valuable for performing statistical analysis --ORRES should be populated with the decoded values and both --STREC and --STRESN should be populated with the code.,Data collected using a codelist and coded values are used to perform statistical analysis,"--ORRES = decoded value; AND --STRESC,--STRESN = code",SENDIG v3.1,4.5.1.1,Text,"In some cases the code values in the codelist are statistically meaningful standardized values or scores, which are defined by sponsors or by valid methodologies. The --ORRES variables will contain the decoded format; whereas the --STRESC variables, as well as the --STRESN variables, will contain the standardized values or scores.",
NEW SEND RULE 319,FND,"CL, LB",--NOMDY,"If --DTC and --DY were not collected, --NOMDY must be populated.",--DTC = null AND --DY = null,--NOMDY ^= null,SENDIG v3.1,6.3.3.1 ,Assumption 5.a | Assumption 4.a,"Information about the time of collection for any observation is needed to identify the record. CLDTC is Expected, and the data will, in most cases, contain CLDTC, CLDY, or both. However, some studies (e.g., legacy studies) may not collect CLDTC or CLDY; in those cases, CLNOMDY must be populated.",New rule identified from cited guidance.
73,ALL,ALL,"--DY, --STDY, --ENDY",If --DTC is on or after RFSTDTC then --DY = (date portion of --DTC) - (date portion of RFSTDTC) + 1,--DTC is on or after RFSTDTC,--DY = (date portion of --DTC) - (date portion of RFSTDTC) + 1 if --DTC is on or after RFSTDTC,SENDIG v3.0,4.4.4,Text,"All Study Day values are integers. Thus, to calculate Study Day:
--DY = (date portion of --DTC) - (date portion of RFSTDTC) + 1 if --DTC is on or after RFSTDTC",
73,ALL,ALL,"--DY, --STDY, --ENDY",If --DTC is on or after RFSTDTC then --DY = (date portion of --DTC) - (date portion of RFSTDTC) + 1,--DTC is on or after RFSTDTC,--DY = (date portion of --DTC) - (date portion of RFSTDTC) + 1 if --DTC is on or after RFSTDTC,SENDIG v3.1,4.4.4,Text,"All Study Day values are integers. Thus, to calculate Study Day:
--DY = (date portion of --DTC) - (date portion of RFSTDTC) + 1 if --DTC is on or after RFSTDTC",
74,ALL,ALL,"--DY, --STDY, --ENDY",If --DTC precedes RFSTDTC then --DY = (date portion of --DTC) - (date portion of RFSTDTC),--DTC precedes RFSTDTC,--DY = (date portion of --DTC) - (date portion of RFSTDTC) if --DTC precedes RFSTDTC,SENDIG v3.0,4.4.4,Text,"All Study Day values are integers. Thus, to calculate Study Day:
--DY = (date portion of --DTC) - (date portion of RFSTDTC) if --DTC precedes RFSTDTC",
74,ALL,ALL,"--DY, --STDY, --ENDY",If --DTC precedes RFSTDTC then --DY = (date portion of --DTC) - (date portion of RFSTDTC),--DTC precedes RFSTDTC,--DY = (date portion of --DTC) - (date portion of RFSTDTC) if --DTC precedes RFSTDTC,SENDIG v3.1,4.4.4,Text,"All Study Day values are integers. Thus, to calculate Study Day:
--DY = (date portion of --DTC) - (date portion of RFSTDTC) if --DTC precedes RFSTDTC",
133.1,INT,EX,EXLOT,"If during a constant dosing interval a treatment contains more than one lot of test article (i.e., mixed lots, produced by the mixing of more than one lot of the test article into one solution, suspension, or dietary food concentration), EXLOT should be populated with each lot identifier, separated by a semicolon (“Lot A;Lot B"").",If during a constant dosing interval a treatment contains more than one lot of test article ,"EXLOT contains each lot identifier, separated by "";""",SENDIG v3.0,"6.1.1
",EXLOT CDISC Notes,"Lot Number(s) or Batch Number(s) of the EXTRT test article. If mixed lots of the test article are administered during the same constant dosing interval, this should be represented as “Lot A;Lot B.” Mixed lots are produced by the mixing of Lots a and B of the test article into one solution, suspension, or dietary food concentration.",Correction.
133.1,INT,EX,EXLOT,"If during a constant dosing interval a treatment contains more than one lot of test article (i.e., mixed lots, produced by the mixing of more than one lot of the test article into one solution, suspension, or dietary food concentration), EXLOT should be populated with each lot identifier, separated by a semicolon (“Lot A;Lot B"").",If during a constant dosing interval a treatment contains more than one lot of test article ,"EXLOT contains each lot identifier, separated by "";""",SENDIG v3.1,"6.1.1
",EXLOT CDISC Notes,"Lot Number(s) or Batch Number(s) of the EXTRT test article. If mixed lots of the test article are administered during the same constant dosing interval, this should be represented as “Lot A;Lot B.” Mixed lots are produced by the mixing of Lots a and B of the test article into one solution, suspension, or dietary food concentration.",Correction.
124.1,SPC,SE,ELEMENT,"If ETCD is UNPLAN, the ELEMENT name is left blank.","ETCD = ""UNPLAN""",ELEMENT = null,SENDIG v3.0,5.3.1,ELEMENT CDISC Notes,"If ETCD has a value of UNPLAN, then Element should be blank.",Conditon format updated.
124.1,SPC,SE,ELEMENT,"If ETCD is UNPLAN, the ELEMENT name is left blank.","ETCD = ""UNPLAN""",ELEMENT = null,SENDIG v3.1,5.3.1.1,Assumption 5,"For unplanned Elements, ETCD should be populated with “UNPLAN”, ELEMENT should be left blank, and SEUPDES should be populated with a description of the unplanned Element.",Conditon format updated. Updated cited guidance.
NEW SEND RULE 314,INT,EX,EXDOSTXT,If EXDOSTXT is populated EXDOSE should not be populated.,EXDOSTXT ^= null,EXDOSE = null,SENDIG v3.1,6.1.1,EXDOSTXT CDISC Notes,"If the amount of treatment administered cannot be represented as a number and populated in EXDOSE, this field is used to describe the amount of treatment administered.",New rule identified from cited guidance.
NEW SEND RULE 340,ALL,ALL,GEN,"If expected variables in a domain are all null, a comment should be included in the Define-XML document to explain why all records are null.",Variable Core Status = Expected and are null for all records,The Define-XML document includes a comment to explain why all records are null.,SENDIG v3.1,4.1.3,Text,"When no data exist for an Expected variable in the whole dataset, a null column should still be included in the dataset, and a comment should be included in the data definition file to explain the absence of data in the entire column.",Replaces SEND Rule 14
14,ALL,ALL,GEN,"If expected variables in a domain are all null, a comment should be included in the Define-XML document to state that data were not collected.",Variable Core Status = Expected and data not collected for any subject,The Define-XML document includes a comment stating the data were not collected.,SENDIG v3.0,4.1.3,Text,"However, when no data exist for an Expected variable, a null column should still be included in the dataset, and a comment should be included in the data definition file to state that data was not collected.",Replaced by SEND Rule 340 in SENDIG v3.1 and SENDIG v3.1.1.
41,ALL,ALL,GEN,"If extending a Controlled Terminology list, the case-sensitivity convention of the list should be followed.",Controlled Terminology list exists for variable and Controlled Terminology list is extended,Extended Controlled Terminology term for variable matches the case-sensitivity convention of the Controlled Terminology list being extended,SENDIG v3.0,4.2.4 | 4.3.2,Text,"When extending a controlled terminology list, the case-sensitivity convention of that list should be followed.",
41,ALL,ALL,GEN,"If extending a Controlled Terminology list, the case-sensitivity convention of the list should be followed.",Controlled Terminology list exists for variable and Controlled Terminology list is extended,Extended Controlled Terminology term for variable matches the case-sensitivity convention of the Controlled Terminology list being extended,SENDIG v3.1,4.2.4 | 4.3.2,Text,"When extending a controlled terminology list, the case-sensitivity convention of that list should be followed.",
173,FND,LB,"LBTOX, LBTOXGR","If LBTOXGR or LBTOX are used; the sponsor is expected to provide the name of the scale and version used to map the terms, utilizing the Define-XML document external codelist attributes.",LBTOXGR ^=null OR LBTOX ^=null,Define-XML document contains the name of the scale and version used to map the terms,SENDIG v3.0,6.3.6,LBTOX CDISC Notes | LBTOXGR CDISC Notes,"LBTOXGR: Records toxicity grade value using a standard toxicity scale (such as the NCI CTCAE). Value should contain valid numbers only. The sponsor is expected to provide the name of the scale and version used to map the terms, utilizing the data definition file external codelist attributes.; LBTOX: Description of toxicity quantified by LBTOXGR. The sponsor is expected to provide the name of the scale and version used to map the terms, utilizing the data definition file external codelist attributes.",
173,FND,LB,"LBTOX, LBTOXGR","If LBTOXGR or LBTOX are used; the sponsor is expected to provide the name of the scale and version used to map the terms, utilizing the Define-XML document external codelist attributes.",LBTOXGR ^=null OR LBTOX ^=null,Define-XML document contains the name of the scale and version used to map the terms,SENDIG v3.1,6.3.6,LBTOX CDISC Notes | LBTOXGR CDISC Notes,"LBTOXGR: Records toxicity grade value using a standard toxicity scale (such as the NCI CTCAE). If value is from a numeric scale, represent only the number (e.g., “2” and not “Grade 2”). The sponsor is expected to provide the name of the scale and version used to map the terms, utilizing the data definition file external codelist attributes.; LBTOX: Description of toxicity quantified by LBTOXGR. The sponsor is expected to provide the name and version of the scale used to map the terms, utilizing the data definition file external codelist attributes.",Cited guidance reference updated; no implementation impact.
197,FND,PP,PPSPEC,"If multiple specimen types are used for a calculation (e.g., serum and urine for creatinine clearance), then this field should be left blank.",Multiple specimens are used,PPSPEC = null,SENDIG v3.0,6.3.12,PPSPEC CDISC Notes,"PPSPEC: Defines the type of specimen used for a measurement. If multiple specimen types are used for a calculation (e.g., serum and urine for creatinine clearance), then this field should be left blank.",Replaced by SEND Rule 282 in SENDIG v3.1 and SENDIG v3.1.1.
NEW SEND RULE 282,FND,PP,PPSPEC,"If multiple specimen types are used for a calculation (e.g., serum and urine for creatinine clearance), then this field should be populated with values from the (SPEC) Controlled Terminology codelist delimited by a semicolon.",Multiple specimens are used,"PPSPEC should consist of values from (SPEC) delimited by "";""",SENDIG v3.1,6.3.12,PPSPEC CDISC Notes,"Defines the type of specimen used for a measurement. Examples: SERUM, PLASMA, URINE. If multiple specimen types are used for a calculation (e.g., serum and urine for creatinine clearance), then refer to Section 4.3.6.2 for guidance on how to populate. ",Replaces SEND Rule 197
57,FND,"MA, MI, OM, LB, TF","--LAT, --DIR, --PORTOT","If multiple terms are needed within a single variable, each contributing term should be included in its CDISC published Controlled Terminology submission value format and delineated from other terms by a semicolon "";"" (e.g., VENTRAL;SURFACE)","Variable is  --LAT, --DIR, or --PORTOT and multiple terms are combined in a single variable","--LAT, --DIR, or --PORTOT in CDISC published Controlled Terminology submission value format are included separated by "";""",SENDIG v3.0,4.3.6.2,Text,"A specimen may be qualified by several variables, these include laterality (--LAT), directionality (--DIR), and portion or totality of specimen (--PORTOT) terms. When multiple terms are needed within a single variable, each contributing term should be included in its controlled terminology submission value format and delimited from other terms by a semicolon.",
69,ALL,ALL,GEN,"If neither the date or date/time are available, the date/time variable is not populated.",No date or date/time is available,SDTM date/time variable = null,SENDIG v3.0,4.4.2,Text,If the date and time values are completely missing the SDTM date field should be null.,
69,ALL,ALL,GEN,"If neither the date or date/time are available, the date/time variable is not populated.",No date or date/time is available,SDTM date/time variable = null,SENDIG v3.1,4.4.2,Text,If the date and time values are completely missing the SDTM date field should be null.,
134,INT,EX,EXLOT,"If no test article (as described in EXTRT) is administered (i.e., EXDOSE is 0), EXLOT is null.","Test article, as described in EXTRT, is not administered (i.e., EXDOSE is 0)",EXLOT = null,SENDIG v3.0,6.1.1,EXLOT CDISC Notes,"If no test article was administered, EXLOT should be null.",
134,INT,EX,EXLOT,"If no test article (as described in EXTRT) is administered (i.e., EXDOSE is 0), EXLOT is null.","Test article, as described in EXTRT, is not administered (i.e., EXDOSE is 0)",EXLOT = null,SENDIG v3.1,6.1.1,EXLOT CDISC Notes,"If no test article was administered, EXLOT should be null.",
42,ALL,ALL,GEN,If no value exists the missing value must be represented by a null.,No value exists,=null,SENDIG v3.0,4.2.5,Text,Missing values for individual data items should be represented by nulls.,
42,ALL,ALL,GEN,If no value exists the missing value must be represented by a null.,No value exists,=null,SENDIG v3.1,4.2.5,Text,Missing values for individual data items should be represented by nulls.,
92,FND,ALL,QNAM,"If numeric data are collected with characters and it is necessary to provide a numeric equivalent for the purpose of calculations, these data should be supplied in a SUPP--dataset using the QNAM ""CALCN"" and QLABEL ""Numeric Interpretation for Calculations"".  The units for these data values must be the same as those presented in --STRESU.",Numeric equivalent of numeric data collected with characters is needed for calculations,--STRESN = null AND SUPP-- exists where QNAM = CALCN; QLABEL = Numeric Interpretion for Calculations; units = --STRESU,SENDIG v3.0,4.5.1.1,Text,"Occasionally data that are intended to be numeric are collected with characters attached that cause the character-to numeric conversion to fail. For example, numeric cell counts in the source data may be specified with a greater than (>) or less than (<) sign attached (e.g., >10,000 or <1  ... If it is necessary to provide a numeric equivalent to these results for the purposes of calculation (analysis), this data should be supplied in a SUPP-- dataset. The Supplemental Qualifier record should be linked to the record that contains the non-numeric --ORRES value, with a QNAM value of --CALCN, a QLABEL of ""Numeric Interpretation for Calculations"", and QVAL equal to the value used by the sponsor for calculations. The units of this value should be the same as the standardized units in --STRESU.",
92,FND,ALL,QNAM,"If numeric data are collected with characters and it is necessary to provide a numeric equivalent for the purpose of calculations, these data should be supplied in a SUPP--dataset using the QNAM ""CALCN"" and QLABEL ""Numeric Interpretation for Calculations"".  The units for these data values must be the same as those presented in --STRESU.",Numeric equivalent of numeric data collected with characters is needed for calculations,--STRESN = null AND SUPP-- exists where QNAM = CALCN; QLABEL = Numeric Interpretion for Calculations; units = --STRESU,SENDIG v3.1,4.5.1.1,Text,"Occasionally data that are intended to be numeric are collected with characters attached that cause the character-to-numeric conversion to fail. For example, numeric cell counts in the source data may be specified with a greater than (>) or less than (<) sign attached (e.g., >10,000 or <1). These values should have a null result in the --STRESN column, since only numeric values can be represented in the --STRESN field. If it is necessary to provide a numeric equivalent to these results for the purposes of calculation (analysis), this data should be supplied in a SUPP-- dataset. The Supplemental Qualifier record should be linked to the record that contains the non-numeric --ORRES value, with a QNAM value of --CALCN, a QLABEL of “Numeric Interpretation for Calculations,” and  QVAL equal to the value used by the sponsor for calculations. The units of this value should be the same as the standardized units in --STRESU.",Cited guidance reference updated; no implementation impact.
91,FND,ALL,--STRESN,"If numeric data are collected with characters attached (e.g., >, <) no data value should be populated in --STRESN.",Numeric data collected with characters attached,--STRESN = null,SENDIG v3.0,4.5.1.1,Text,"Occasionally data that are intended to be numeric are collected with characters attached that cause the character-to numeric conversion to fail. For example, numeric cell counts in the source data may be specified with a greater than (>) or less than (<) sign attached (e.g., >10,000 or <1). These values should have a null result in the --STRESN column since only numeric values can be represented in the --STRESN field.",
91,FND,ALL,--STRESN,"If numeric data are collected with characters attached (e.g., >, <) no data value should be populated in --STRESN.",Numeric data collected with characters attached,--STRESN = null,SENDIG v3.1,4.5.1.1,Text,"Occasionally data that are intended to be numeric are collected with characters attached that cause the character-to numeric conversion to fail. For example, numeric cell counts in the source data may be specified with a greater than (>) or less than (<) sign attached (e.g., >10,000 or <1). These values should have a null result in the --STRESN column since only numeric values can be represented in the --STRESN field.",
155,FND,BG,"BGEXCLFL, BGREASEX","If one of the two body weights (BW) needed for the calculation has an exclusion flag, then the corresponding BG values should have the exclusion flag set. The BGREASEX should be ""EXCLUDED BODY WEIGHT"".",BWEXCLFL ^= null for one of the two body weights needed for the calculation,"BGEXCLFL ^= null AND BGREASEX = ""EXCLUDED BODY WEIGHT""",SENDIG v3.0,6.3.2.1,Assumption 4,"If one of the two body weights (BW) needed for the calculation has an exclusion flag, then the corresponding BG values should have the exclusion flag set. The BGREASEX should be ""EXCLUDED BODY WEIGHT"".",
155,FND,BG,"BGEXCLFL, BGREASEX","If one of the two body weights (BW) needed for the calculation has an exclusion flag, then the corresponding BG values should have the exclusion flag set. The BGREASEX should be “EXCLUDED BODY WEIGHT”.",BWEXCLFL ^= null for one of the two body weights needed for the calculation,BGEXCLFL ^= null AND BGREASEX = “EXCLUDED BODY WEIGHT”,SENDIG v3.1,6.3.2.1,Assumption 4,"If one of the two body weights needed for the calculation is missing, BGSTAT should be “NOT DONE,” and BGREASND could be “MISSING BODY WEIGHT.”",Cited guidance reference updated; no implementation impact.
154,FND,BG,--STAT,"If one of the two body weights needed for the calculation is missing, BGORRES should be null and BGSTAT should be ""NOT DONE"".",One or both of the two body weights needed for the calculation is missing,"BGORRES = null AND BGSTAT = ""NOT DONE"".",SENDIG v3.0,6.3.2.1,Assumption 4,"If one of the two body weights needed for the calculation is missing, BGSTAT should be ""NOT DONE"", and BGREASND could be ""MISSING BODY WEIGHT"".",
154,FND,BG,--STAT,"If one of the two body weights needed for the calculation is missing, BGORRES should be null and BGSTAT should be ""NOT DONE"".",One or both of the two body weights needed for the calculation is missing,"BGORRES = null AND BGSTAT = ""NOT DONE"".",SENDIG v3.1,6.3.2.1,Assumption 4,"If one of the two body weights needed for the calculation is missing, BGSTAT should be ""NOT DONE"", and BGREASND could be ""MISSING BODY WEIGHT"".",
144,FND,NOT (SC),--STAT,"If --ORRES is not populated, --STAT must be populated",--ORRES = null,--STAT  ^= null,SENDIG v3.0,6.3.1,BWSTAT CDISC Notes,Used to indicate when a test is not done or result is missing. Should be null if a result exists in BWORRES.,
144,FND,NOT (SC),--STAT,"If --ORRES is not populated, --STAT must be populated",--ORRES = null,--STAT  ^= null,SENDIG v3.1,6.3.1,BWSTAT CDISC Notes,Used to indicate when a test is not done or result is missing. Should be null if a result exists in BWORRES.,
145,FND,NOT (SC),--STAT,"If --ORRES is populated, --STAT must not be populated",--ORRES ^= null,--STAT = null,SENDIG v3.0,6.3.1,BWSTAT CDISC Notes,Used to indicate when a test is not done or result is missing. Should be null if a result exists in BWORRES.,
145,FND,NOT (SC),--STAT,"If --ORRES is populated, --STAT must not be populated",--ORRES ^= null,--STAT = null,SENDIG v3.1,6.3.1,BWSTAT CDISC Notes,Used to indicate when a test is not done or result is missing. Should be null if a result exists in BWORRES.,
132,"INT, FND",ALL,"USUBJID, POOLID","If POOLID is populated, USUBJID must be null.",POOLID ^=null,USUBJID = null,SENDIG v3.0,6.1.1,USUBJID CDISC Notes,Either USUBJID or POOLID must be populated.,
132,"INT, FND",ALL,"USUBJID, POOLID","If POOLID is populated, USUBJID must be null. ",POOLID ^=null,USUBJID = null,SENDIG v3.1,8.5,Text,"POOLID and USUBJID are mutually exclusive. When POOLID is used, USUBJID will be null and if a USUBJID is recorded, the POOLID will be null.",Cited guidance reference updated; no implementation impact.
225,SPC,DM,ARM,"If present, the ARM value in DM for a given subject must exist in TA.",DM.ARM ^= null,DM.ARM exists in TA.ARM,SENDIG v3.0,7.3.1.1,Assumption 2,"ARM and ARMCD values in DM and TA must coincide (ARM and ARMCD are defined as the planned trial arms in TA, and the planned arms are then applied to subjects in DM).",
225,SPC,DM,ARM,"If present, the ARM value in DM for a given subject must exist in TA.",DM.ARM ^= null,DM.ARM exists in TA.ARM,SENDIG v3.1,7.3.1.1,Assumption 2,"ARM and ARMCD values in DM and TA must coincide (ARM and ARMCD are defined as the planned trial arms in TA, and the planned arms are then applied to subjects in DM).",Cited guidance reference updated; no implementation impact.
63,ALL,ALL,--TPTREF,If --RFTDTC is not null then --TPTREF is not null,--RFTDTC ^= null,--TPTREF ^= null,SENDIG v3.0,4.4.7,Text,"If an --RFTDTC entry is used, then the --TPTREF should be provided.",
63,ALL,ALL,--TPTREF,If --RFTDTC is not null then --TPTREF is not null,--RFTDTC ^= null ,--TPTREF ^= null,SENDIG v3.1,4.4.7.2.2,Text,"Since the --RFTDTC represents the actual date/time of the fixed reference point (--TPTREF), the --TPTREF should be provided whenever --RFTDTC is populated.",Cited guidance reference updated; no implementation impact.
NEW SEND RULE 306,SPC,DM,RFXENDTC,"If RFXENDTC is populated it is equal to the latest (i.e., absolute last) value of EXENDTC.  If EXENDTC is not populated RFXENDTC is equal to the latest (i.e., absolute last) value of EXSTDTC if EXENDTC was not collected or is missing.",RFXENDTC ^= null,RFXENDTC value = date/time of absolute latest value of test article exposure (as represented in EXENDTC or EXSTDTC for that subject).,SENDIG v3.1,5.1.1,RFXENDTC CDISC Notes,"Last date/time of exposure to any protocol-specified treatment or therapy, equal to the latest value of EXENDTC (or the latest value of EXSTDTC if EXENDTC was not collected or is missing).",New rule identified from cited guidance.
NEW SEND RULE 305,SPC,DM,RFXSTDTC,"If RFXSTDTC is populated the value should be equal to the earliest (i.e., absolute first) value of EXSTDTC for that subject or the EXSTDTC for the pool to which that subject belongs.",RFXSTDTC ^= null,RFXSTDTC value = earliest EXSTDTC value for that subject ,SENDIG v3.1,5.1.1,RFXSTDTC CDISC Notes,"First date/time of exposure to any protocol-specified treatment or therapy, equal to the earliest value of EXSTDTC.",New rule identified from cited guidance.
105,"SPC, TDM","DM,TS",SPECIES,If species information is not included in DM it must be included in TS.,DM.SPECIES = null,"Record with TSPARMCD = ""SPECIES"" is present in TS and TSVAL ^= null for that record",SENDIG v3.0,5.1.1,SPECIES CDISC Notes,"SPECIES; If this variable is excluded in the DM domain, the information must be presented at a higher level (Trial Summary).",
