"STUDYID","DOMAIN","USUBJID","POOLID","PCSEQ","PCGRPID","PCREFID","PCSPID","PCTESTCD","PCTEST","PCCAT","PCSCAT","PCORRES","PCORRESU","PCSTRESC","PCSTRESN","PCSTRESU","PCSTAT","PCREASND","PCNAM","PCSPEC","PCSPCCND","PCMETHOD","PCBLFL","PCFAST","PCDRVFL","PCLLOQ","PCEXCLFL","PCREASEX","VISITDY","PCDTC","PCENDTC","PCDY","PCENDY","PCTPT","PCTPTNUM","PCELTM","PCTPTREF","PCRFTDTC","PCEVLINT"
"PDS2014","PC","PDS2014-0053",NA,78,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"163","ng/mL","163",163,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,30,"2011-01-09T12:00:00",NA,30,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0076",NA,79,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1950","ng/mL","1950",1950,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0076",NA,80,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1880","ng/mL","1880",1880,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0076",NA,81,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2300","ng/mL","2300",2300,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0076",NA,82,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"3330","ng/mL","3330",3330,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0076",NA,83,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"3610","ng/mL","3610",3610,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0076",NA,84,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1800","ng/mL","1800",1800,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,2,"2010-12-12T12:00:00",NA,2,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0076",NA,85,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"217","ng/mL","217",217,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0H",0,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0076",NA,86,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2160","ng/mL","2160",2160,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0076",NA,87,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"3340","ng/mL","3340",3340,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0076",NA,88,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"3460","ng/mL","3460",3460,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0076",NA,89,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2330","ng/mL","2330",2330,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0076",NA,90,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1470","ng/mL","1470",1470,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0076",NA,91,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"217","ng/mL","217",217,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,30,"2011-01-09T12:00:00",NA,30,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0076",NA,92,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"BQL","ng/mL","BQL",NA,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,31,"2011-01-10T12:00:00",NA,31,NA,"48H",48,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0076",NA,93,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"BQL","ng/mL","BQL",NA,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,32,"2011-01-11T12:00:00",NA,32,NA,"72H",72,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0077",NA,94,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1470","ng/mL","1470",1470,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0077",NA,95,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1890","ng/mL","1890",1890,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0077",NA,96,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2610","ng/mL","2610",2610,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0077",NA,97,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"4060","ng/mL","4060",4060,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0077",NA,98,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2970","ng/mL","2970",2970,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0077",NA,99,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"754","ng/mL","754",754,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,2,"2010-12-12T12:00:00",NA,2,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0077",NA,100,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1950","ng/mL","1950",1950,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0H",0,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0077",NA,101,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2370","ng/mL","2370",2370,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0077",NA,102,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"6760","ng/mL","6760",6760,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0077",NA,103,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"5840","ng/mL","5840",5840,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0077",NA,104,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"5270","ng/mL","5270",5270,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0077",NA,105,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"5230","ng/mL","5230",5230,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0077",NA,106,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1950","ng/mL","1950",1950,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,30,"2011-01-09T12:00:00",NA,30,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0077",NA,107,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"BQL","ng/mL","BQL",NA,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,31,"2011-01-10T12:00:00",NA,31,NA,"48H",48,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0077",NA,108,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"BQL","ng/mL","BQL",NA,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,32,"2011-01-11T12:00:00",NA,32,NA,"72H",72,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0078",NA,109,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1400","ng/mL","1400",1400,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0078",NA,110,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2240","ng/mL","2240",2240,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0078",NA,111,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2750","ng/mL","2750",2750,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0078",NA,112,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"4190","ng/mL","4190",4190,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0078",NA,113,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"3960","ng/mL","3960",3960,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0078",NA,114,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"3190","ng/mL","3190",3190,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,2,"2010-12-12T12:00:00",NA,2,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0078",NA,115,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1010","ng/mL","1010",1010,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0H",0,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0078",NA,116,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2420","ng/mL","2420",2420,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0078",NA,117,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1880","ng/mL","1880",1880,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0078",NA,118,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"4150","ng/mL","4150",4150,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0078",NA,119,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"3160","ng/mL","3160",3160,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0078",NA,120,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2230","ng/mL","2230",2230,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0078",NA,121,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1010","ng/mL","1010",1010,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,30,"2011-01-09T12:00:00",NA,30,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0078",NA,122,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"BQL","ng/mL","BQL",NA,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,31,"2011-01-10T12:00:00",NA,31,NA,"48H",48,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0078",NA,123,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"BQL","ng/mL","BQL",NA,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,32,"2011-01-11T12:00:00",NA,32,NA,"72H",72,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0131",NA,124,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2200","ng/mL","2200",2200,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0131",NA,125,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2680","ng/mL","2680",2680,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0131",NA,126,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"3560","ng/mL","3560",3560,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0131",NA,127,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2740","ng/mL","2740",2740,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0131",NA,128,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1110","ng/mL","1110",1110,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0131",NA,129,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"BQL","ng/mL","BQL",NA,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,2,"2010-12-12T12:00:00",NA,2,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0131",NA,130,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"BQL","ng/mL","BQL",NA,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0H",0,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0131",NA,131,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2100","ng/mL","2100",2100,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0131",NA,132,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2790","ng/mL","2790",2790,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0131",NA,133,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2560","ng/mL","2560",2560,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0131",NA,134,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1440","ng/mL","1440",1440,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0131",NA,135,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"766","ng/mL","766",766,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0131",NA,136,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"BQL","ng/mL","BQL",NA,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,30,"2011-01-09T12:00:00",NA,30,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0132",NA,137,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1930","ng/mL","1930",1930,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0132",NA,138,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2790","ng/mL","2790",2790,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0132",NA,139,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2830","ng/mL","2830",2830,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0132",NA,140,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"3480","ng/mL","3480",3480,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0132",NA,141,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1950","ng/mL","1950",1950,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0132",NA,142,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"24.5","ng/mL","24.5",24.5,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,2,"2010-12-12T12:00:00",NA,2,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0132",NA,143,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"33.6","ng/mL","33.6",33.6,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0H",0,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0132",NA,144,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2430","ng/mL","2430",2430,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0132",NA,145,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"3070","ng/mL","3070",3070,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0132",NA,146,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"3100","ng/mL","3100",3100,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0132",NA,147,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2130","ng/mL","2130",2130,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0132",NA,148,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"776","ng/mL","776",776,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0132",NA,149,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"33.6","ng/mL","33.6",33.6,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,30,"2011-01-09T12:00:00",NA,30,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0133",NA,150,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2210","ng/mL","2210",2210,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0133",NA,151,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2210","ng/mL","2210",2210,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0133",NA,152,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2090","ng/mL","2090",2090,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0133",NA,153,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1350","ng/mL","1350",1350,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0133",NA,154,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"751","ng/mL","751",751,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0133",NA,155,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"38.9","ng/mL","38.9",38.9,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,2,"2010-12-12T12:00:00",NA,2,NA,"24H",24,NA,NA,NA,NA
