"STUDYID","DOMAIN","SETCD","SET","TXSEQ","TXPARMCD","TXPARM","TXVAL"
"PDS2014","TX","22","Female, High, 400 mg/kg , TK",270,"GRPLBL","Group Label","F-High"
"PDS2014","TX","22","Female, High, 400 mg/kg , TK",271,"PLANFSUB","Planned Number of Female Subjects","3"
"PDS2014","TX","22","Female, High, 400 mg/kg , TK",272,"PLANMSUB","Planned Number of Male Subjects","0"
"PDS2014","TX","22","Female, High, 400 mg/kg , TK",273,"SEXPOP","Sex of Participants","F"
"PDS2014","TX","22","Female, High, 400 mg/kg , TK",274,"SPECIES","Species","Rat"
"PDS2014","TX","22","Female, High, 400 mg/kg , TK",275,"SPGRPCD","Sponsor-Defined Group Code","F-H"
"PDS2014","TX","22","Female, High, 400 mg/kg , TK",276,"SPLRLOC","Test Subject Supplier Site","MAIN RATVILLE"
"PDS2014","TX","22","Female, High, 400 mg/kg , TK",277,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TX","22","Female, High, 400 mg/kg , TK",278,"STRAIN","Strain/Substrain","Sprague Dawley"
"PDS2014","TX","22","Female, High, 400 mg/kg , TK",279,"TKDESC","Toxicokinetic Description","TK"
"PDS2014","TX","22","Female, High, 400 mg/kg , TK",280,"TRTDOS","Dose Level","400.0"
"PDS2014","TX","22","Female, High, 400 mg/kg , TK",281,"TRTDOSU","Dose Units","mg/kg"
"PDS2014","TX","21","Female, High, 400 mg/kg , NON-TK",282,"ARMCD","Arm Code","14"
"PDS2014","TX","21","Female, High, 400 mg/kg , NON-TK",283,"GRPLBL","Group Label","F-High"
"PDS2014","TX","21","Female, High, 400 mg/kg , NON-TK",284,"PLANFSUB","Planned Number of Female Subjects","5"
"PDS2014","TX","21","Female, High, 400 mg/kg , NON-TK",285,"PLANMSUB","Planned Number of Male Subjects","0"
"PDS2014","TX","21","Female, High, 400 mg/kg , NON-TK",286,"SEXPOP","Sex of Participants","F"
"PDS2014","TX","21","Female, High, 400 mg/kg , NON-TK",287,"SPECIES","Species","Rat"
"PDS2014","TX","21","Female, High, 400 mg/kg , NON-TK",288,"SPGRPCD","Sponsor-Defined Group Code","F-H"
"PDS2014","TX","21","Female, High, 400 mg/kg , NON-TK",289,"SPLRLOC","Test Subject Supplier Site","MAIN RATVILLE"
"PDS2014","TX","21","Female, High, 400 mg/kg , NON-TK",290,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TX","21","Female, High, 400 mg/kg , NON-TK",291,"STRAIN","Strain/Substrain","Sprague Dawley"
"PDS2014","TX","21","Female, High, 400 mg/kg , NON-TK",292,"TKDESC","Toxicokinetic Description","NON-TK"
"PDS2014","TX","21","Female, High, 400 mg/kg , NON-TK",293,"TRTDOS","Dose Level","400.0"
"PDS2014","TX","21","Female, High, 400 mg/kg , NON-TK",294,"TRTDOSU","Dose Units","mg/kg"
